Date,Open,High,Low,Close,Volume,Adj Close
1/3/00,71.0625,71.0625,67,68.375,1250000,28.611841
1/4/00,68.125,69.375,67.375,67.5625,1285600,28.271846
1/5/00,67.625,69.375,67.5,68.5,1510200,28.664147
1/6/00,69,70.8125,69,70.6875,2018000,29.579517
1/7/00,70.6875,75.6875,70.6875,75.5625,1898400,31.619484
1/10/00,75.5,76.25,73.8125,75.75,1357800,31.697944
1/11/00,75.875,76.5,74.875,75.125,1221800,31.43641
1/12/00,75,76,72.5,73.0625,963800,30.573347
1/13/00,73.5625,74.5625,73,73.625,1220200,30.808728
1/14/00,75.5,77.875,74.75,77,1812200,32.221012
1/18/00,76.3125,77.6875,76,76.6875,910000,32.090245
1/19/00,76.6875,78.25,76.6875,77.375,1536200,32.377933
1/20/00,77.125,77.4375,76,76.5625,1094200,32.037938
1/21/00,78.4375,78.4375,75.875,76.3125,1698600,31.933325
1/24/00,77,77,73.375,73.4375,1226200,30.730268
1/25/00,73.6875,74.125,70.3125,71.8125,1464200,30.050279
1/26/00,72,74.3125,71.25,73.3125,1640000,30.677961
1/27/00,73.0625,73.0625,70,71,1470200,29.710284
1/28/00,70.75,71,68.125,68.8125,1799400,28.794915
1/31/00,69.0625,70.75,69,70.125,1193800,29.344136
2/1/00,71.25,73.875,70.375,73.125,1241400,30.5995
2/2/00,73.125,74.75,72.25,73.75,2038200,30.861035
2/3/00,75.5,78,75.25,77.5,3186600,32.43024
2/4/00,78.25,81.8125,78.0625,80.125,2559000,33.528683
2/7/00,80,81.125,79.3125,79.9375,2269600,33.450223
2/8/00,79.6875,80.875,79.0625,80.75,1096800,33.790218
2/9/00,81,81,78.5625,78.5625,1553400,32.874848
2/10/00,78.8125,80,78,79.625,994200,33.319456
2/11/00,79.375,80,79,79.5,596200,33.267149
2/14/00,78.75,79.1875,77.75,77.875,1472000,32.58716
2/15/00,77.875,77.875,75.5,76.375,1457600,31.959478
2/16/00,75.875,75.875,71.5,71.9375,2439800,30.102585
2/17/00,71.5,72.25,68.125,69.25,2646800,28.977988
2/18/00,69.5,72.375,69.5,71.125,2121000,29.762591
2/22/00,70.875,71.75,70.5,71.0625,1881800,29.736438
2/23/00,71.0625,73.5,71.0625,72.375,1460800,30.285659
2/24/00,72.375,72.375,68.875,69.0625,3734800,28.899528
2/25/00,70,71.625,69.0625,69.5625,3690200,29.108756
2/28/00,69.5625,74.375,69.5625,74.0625,2695000,30.991802
2/29/00,73.8125,77.125,73.5625,75.8125,2316200,31.724097
3/1/00,77.625,79.75,76.5,78.6875,3246000,32.927155
3/2/00,78,78.5,76.5,77,1526600,32.221012
3/3/00,77,78,75.875,76,1616800,31.802558
3/6/00,76,78.9375,74.5,76.8125,1638400,32.142552
3/7/00,77.875,79.25,73.6875,75.4375,2564600,31.567177
3/8/00,76.75,80.75,75.875,80,2374200,33.476377
3/9/00,80,89,77.875,87,3510800,36.405559
3/10/00,86.8125,86.8125,82.375,86.3125,2938400,36.117872
3/13/00,78.75,86.5625,78.75,84.6875,2782000,35.437883
3/14/00,84.9375,84.9375,82.875,83.375,1750000,34.888661
3/15/00,83.1875,85.75,82.375,85.1875,2194800,35.64711
3/16/00,87,95,85.8125,94.625,7645400,39.596277
3/17/00,93,93.6875,89.375,89.8125,3334400,37.582463
3/20/00,90.625,94.5,90.5,93,2315200,38.916288
3/21/00,92,95,91.6875,95,1423400,39.753197
3/22/00,94.875,95,91.25,92.75,1850400,38.811674
3/23/00,93,96.4375,90.75,94.125,1871000,39.387049
3/24/00,94.1875,101.25,93.9375,96.5625,3224800,40.407033
3/27/00,96.625,97.75,95.5625,96.375,1262000,40.328572
3/28/00,95.75,98,94.5,95.125,1978000,39.805504
3/29/00,95.25,96.375,94.5,95.875,2413400,40.119345
3/30/00,95.9375,99.8125,95.5,99.5625,2494000,41.662397
3/31/00,99.875,104.25,99.875,102.5,3788200,42.891607
4/3/00,103.25,104.6875,102.125,104.125,1684400,43.571596
4/4/00,104.6875,104.9375,98.0625,99.625,2964200,41.68855
4/5/00,98.875,102,95.125,100.875,1770000,42.211619
4/6/00,100.875,106,100.875,103.9375,1673800,43.493136
4/7/00,104.125,106.6875,103.125,106.1875,1587200,44.434659
4/10/00,106.1875,109.5625,104.6875,108.75,1688800,45.506949
4/11/00,108.625,108.625,105.25,106,1531200,44.356199
4/12/00,105.9375,109.125,104.5,107.0625,1962800,44.800807
4/13/00,105.875,106.4375,101,101.0625,1968800,42.290079
4/14/00,98,98.25,87.125,91.625,3126000,38.340912
4/17/00,91.375,92.5,88.5,90.5625,2815200,37.896304
4/18/00,91.375,98.9375,91,98.0625,2289800,41.034715
4/19/00,98.0625,99.5,96.0625,98.9375,2333800,41.400863
4/20/00,99.1875,103,98.75,102.0625,1864600,42.708533
4/24/00,101.8125,103.375,98.9375,100,1915800,41.845471
4/25/00,50.5,52.5,50.25,52.5,1331100,43.937744
4/26/00,52.5,53,51.5,52.0625,1192900,43.571596
4/27/00,50.125,51.625,49.5,50.9375,1618000,42.630073
4/28/00,51.125,51.25,48,48.125,1915700,40.276266
5/1/00,48.5,52.375,48.5,52,2022100,43.519289
5/2/00,51.75,52.5,51.0625,51.8125,938900,43.362369
5/3/00,46.25,48,44,48,5102900,40.171652
5/4/00,48,48,44.125,47.5,2787700,39.753197
5/5/00,47.1875,50,46.5,49.75,1694900,41.636243
5/8/00,49.375,49.375,48.0625,48.75,1309600,40.799334
5/9/00,48.875,49.9375,47.6875,48,1625600,40.171652
5/10/00,48.4375,48.6875,47.5,48.0625,1248200,40.223959
5/11/00,48,49,47.625,48.9375,802500,40.956254
5/12/00,48.6875,51,48.4375,49.9687,1557900,41.819276
5/15/00,50,51.4375,49.0625,51.1875,1015300,42.839301
5/16/00,51.1875,52.4375,51,51.375,857600,42.996221
5/17/00,52.1875,52.9375,49.875,52.875,1734500,44.251585
5/18/00,52.9375,54.4375,52.5625,54,1150300,45.193108
5/19/00,53.3125,53.4375,52.125,52.3125,1115000,43.780824
5/22/00,53.1875,53.1875,50.25,51.25,911300,42.891607
5/23/00,52.5,53.5,52.1875,52.625,1832200,44.042358
5/24/00,51.5,51.5625,47,48.25,4453000,40.380879
5/25/00,49,49.25,47.625,49,2114700,41.008561
5/26/00,49,49,47.0625,48.75,1078700,40.799334
