Date,Open,High,Low,Close,Volume,Adj Close
1/2/03,13.01,13.5,13,13.5,89700,8.040668
1/3/03,13.5,13.6,13.32,13.4,73200,7.981107
1/6/03,13.4,13.56,13.29,13.29,90700,7.915591
1/7/03,13.36,13.52,13.2,13.31,99300,7.927503
1/8/03,13.11,13.2,12.76,13.02,159100,7.754778
1/9/03,13.07,13.13,12.85,13,125900,7.742865
1/10/03,13.08,13.1,12.95,13,70500,7.742865
1/13/03,13.1,13.33,13,13.33,194700,7.939415
1/14/03,13.33,13.61,13.29,13.45,131200,8.010887
1/15/03,13.59,13.67,13.44,13.67,80300,8.141921
1/16/03,13.67,13.91,13.45,13.91,95500,8.284866
1/17/03,13.8,14.01,13.47,13.48,71300,8.028755
1/21/03,13.53,13.91,13.46,13.72,107700,8.171701
1/22/03,13.73,14.3,13.58,14.26,121500,8.493328
1/23/03,14.3,14.8,14.2,14.25,185500,8.487371
1/24/03,14.4,14.4,13.95,14,130500,8.33847
1/27/03,13.99,14.49,13.97,14.13,74000,8.415899
1/28/03,14.2,14.4,14,14.26,65700,8.493328
1/29/03,14.19,14.31,14,14.03,102800,8.356338
1/30/03,14,14.17,13.76,13.77,62600,8.201481
1/31/03,13.9,13.96,13.66,13.75,184000,8.189569
2/3/03,13.78,13.87,13.63,13.64,120100,8.124053
2/4/03,13.5,13.59,13.35,13.58,121800,8.088316
2/5/03,13.6,13.71,13.35,13.55,60200,8.070448
2/6/03,13.76,14.65,13.6,14.4,110600,8.576712
2/7/03,14.4,14.56,13.79,13.95,129500,8.30869
2/10/03,14.06,14.14,13.7,13.71,54600,8.165745
2/11/03,13.79,14.54,13.71,14.31,231000,8.523108
2/12/03,14.31,14.31,13.94,13.94,190500,8.302734
2/13/03,14.04,14.17,13.95,13.98,107800,8.326558
2/14/03,13.96,14.49,13.86,14.33,61100,8.53502
2/18/03,14.35,14.49,14.06,14.45,91100,8.606492
2/19/03,14.39,14.49,13.96,14.29,93500,8.511196
2/20/03,14.15,14.39,14,14.06,46800,8.374207
2/21/03,14.18,14.35,13.93,14.06,71500,8.374207
2/24/03,14.18,14.23,13.98,14,38800,8.33847
2/25/03,14.04,14.24,13.78,14.18,121100,8.445679
2/26/03,14.2,14.2,13.81,13.95,47600,8.30869
2/27/03,14,14.05,13.85,13.95,36500,8.30869
2/28/03,14,14.29,13.85,14.22,42700,8.469503
3/3/03,14.1,14.34,13.96,14.08,248400,8.386119
3/4/03,14.12,14.14,13.95,14.05,258400,8.368251
3/5/03,14.15,14.15,13.85,13.92,45500,8.290822
3/6/03,13.86,14.05,13.85,14,31300,8.33847
3/7/03,14.01,14.2,13.95,14.16,45300,8.433767
3/10/03,14.15,14.3,14.08,14.16,26700,8.433767
